"adm1","adm2","cm_rdt_kit_quantity","cm_act_packs_quantity","cm_iv_artesunate_quantity","cm_ras_quantity"
"Nasarawa","Nasarawa Eggon",74372.3456648059,49184.3648423752,4764.68464265265,381.174771412212
"Nasarawa","Obi",59180.4771931727,39137.5874432354,3791.41343878038,303.313075102431
"Nasarawa","Toto",47292.5014621344,31275.7601690504,3029.80702591839,242.384562073471
"Nasarawa","Wamba",28874.6004130849,19095.5235941551,1849.85916366036,147.988733092829
"Niger","Agaie",59566.1597127755,51111.101376086,4951.40433374885,396.11635496052
"Niger","Agwara",25859.1391319213,22188.5897637693,2149.52674777434,171.963879906743
"Niger","Bida",83670.3026024969,71793.8060654732,6955.04798210496,556.409468818524
"Niger","Borgu",77935.4510587409,66872.9822278598,6478.3415950543,518.272571951138
"Niger","Bosso",66798.0789657051,57316.4931599863,5552.5536524718,444.208787100725
"Niger","Chanchaga",91154.7393003474,78215.8719607954,7577.18767484492,606.181147872217
"Niger","Edati",72065.7732363575,61836.4698914693,5990.42784759099,479.239077178158
"Niger","Gbako",57197.4558946162,49078.6208273375,4754.50712890712,380.364419180965
"Niger","Gurara",40979.5229945747,35162.7260212669,3406.40035766448,272.514786162221
"Niger","Katcha",54513.5561943146,46775.6845573677,4531.40943935487,362.516423414754
"Niger","Kontagora",68526.0197673778,58799.1631510018,5696.18778324536,455.699633837305
"Niger","Lapai",52767.5784322905,45277.5378441078,4386.27599615153,350.905630470068
"Niger","Lavun",94593.4857913588,81166.5090566942,7863.03158958374,629.048892447675
"Niger","Magama",81829.1798746187,70214.019642374,6802.00566583449,544.165959626077
"Niger","Mariga",90004.4321539311,77228.8439996575,7481.56902463528,598.53157845024
"Niger","Mashegu",97037.4939189856,83263.6049208132,8066.18842381983,645.301603646073
"Niger","Mokwa",109510.502926049,93966.1452708859,9103.00045182803,728.247405206755
"Niger","Muya",46653.0488731356,40030.9290032493,3878.00908245386,310.243865922045
"Niger","Paikoro",71326.2578619465,61201.9242794481,5928.95603796973,474.321282645802
"Niger","Rafi",83925.0746674617,72012.4147671757,6976.22577017569,558.103709008025
"Niger","Rijau",79452.3594243012,68174.5745686155,6604.43377039936,528.360048052875
"Niger","Shiroro",106267.006530843,91183.043693283,8833.38659414165,706.678078334047
"Niger","Suleja",96982.4811899135,83216.4009179677,8061.61552090898,644.935767711349
"Niger","Tafa",37820.8003130202,32452.3650382128,3143.83326839809,251.509206467612
"Niger","Wushishi",36865.7432624088,31632.8725953708,3064.44467524089,245.158054748386
